level,cn,ev_p_rooij,ev_p_delta,ev_a_given_c,ev_nc_given_na,ev_A || C,ev_A implies -C,ev_A implies C,ev_C implies -A,ev_C implies A,alpha,cost_conditional,ev_uncertain_both
LL,A || C,-33.089774357499394,0.09476809551816032,0.23729654786382065,0.10324664612658319,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,1,0,0.5562985815035588
LL,A implies -C,-6.17919763290141e-11,-7.17587080620969e-14,5.8462490166522e-13,4.295141799196171e-14,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,1,0,0.5562985815035588
LL,A implies C,0.32347969082651484,0.30652014598090654,0.30774394849101405,0.31773555223540967,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,1,0,0.5562985815035588
LL,C implies -A,-1.7488781238012843,-7.601939298403021e-5,1.3265202235916083e-4,4.752490565399193e-7,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,1,0,0.5562985815035588
LL,C implies A,0.2902818676642596,0.26197801408618665,0.2843879945554411,0.27060464255997063,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,1,0,0.5562985815035588
PL,A || C,-11.733332713810793,0.03953536756651696,0.17182581768222882,0.045485826584498824,0.27376110527041836,7.657888950291485e-13,0.378192075189466,9.656394228626571e-4,0.3470811801164988,1,0,0.6854352792055286
PL,A implies -C,-4.682413722913759e-11,-4.258250449396016e-14,4.0001938451570713e-13,2.4400808014163384e-14,0.27376110527041836,7.657888950291485e-13,0.378192075189466,9.656394228626571e-4,0.3470811801164988,1,0,0.6854352792055286
PL,A implies C,0.36428818007358266,0.3426381148505655,0.34729751477478116,0.35567993561964545,0.27376110527041836,7.657888950291485e-13,0.378192075189466,9.656394228626571e-4,0.3470811801164988,1,0,0.6854352792055286
PL,C implies -A,-0.8804394962272882,-4.710699489620145e-5,9.862752134222512e-5,3.7650386266967626e-7,0.27376110527041836,7.657888950291485e-13,0.378192075189466,9.656394228626571e-4,0.3470811801164988,1,0,0.6854352792055286
PL,C implies A,0.3357939575864811,0.30258867774879666,0.32738157048918065,0.31298611438340035,0.27376110527041836,7.657888950291485e-13,0.378192075189466,9.656394228626571e-4,0.3470811801164988,1,0,0.6854352792055286
prior,A || C,-13.687276239670766,0.010904319816701851,0.23356908157686232,0.22087208569443967,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,1,0,0.6167182661809306
